ime, kraj
Bellgrove, Waimangura

Arkansas, Qingshan

Garrison, Bektemir

Lukken, Kimil’tey

Fairview, Kalapanunggal

Acker, Tayirove

Heath, Irkliyevskaya

Monica, Wujiashan

Sutteridge, Amerta

Dakota, Merida

Mcbride, Tarqūmyā

Clyde Gallagher, Dungloe

Transport, Yanqi

Bowman, Valleymount

Mockingbird, Peliyagoda

Kipling, Firavitoba

Kingsford, New Glasgow

Orin, Chanhe

Buena Vista, Plumbangan

Colorado, Suzuka

Leroy, Šentilj v Slov. Goricah

Tennessee, Taraz

Declaration, Rumat Heib

Fuller, Zhongdeng

Mandrake, Batujaran

Meadow Vale, Bairros

Gateway, Amparita
